Pin Name,IO Type,Function2,Function3,Function4,Function5,Function6,Function7,Function8,Function9,Function10,Function14
GPADC0-2/PA0,I/O,CSI-SM-VS,PWM0-5,,,CLK-FANOUT0,,,,,PA-EINT0
PA1,I/O,MIPI-CSI-MCLK0,TWI1-SCK,TWI0-SCK,UART1-CTS,PWM0-10,,,,,PA-EINT1
PA2,I/O,MIPI-CSI-MCLK1,TWI1-SDA,TWI0-SDA,UART1-RTS,PWM0-11,,,,,PA-EINT2
GPADC0-3/PA3,I/O,CSI-SM-VS,PWM0-6,TWI0-SCK,UART1-TX,CLK-FANOUT0,,,,,PA-EINT3
PA4,I/O,CSI-SM-HS,PWM0-7,TWI0-SDA,UART1-RX,CLK-FANOUT1,,,,,PA-EINT4
PA5,I/O,MIPIA-CSI-CK0N,UART2-CTS,PWM0-8,UART3-TX,TWI1-SCK,SPI2-CS0,,,,PA-EINT5
PA6,I/O,MIPIA-CSI-CK0P,UART2-RTS,PWM0-9,UART3-RX,TWI1-SDA,SPI2-CLK,,,,PA-EINT6
PA7,I/O,MIPIA-CSI-D0N,UART2-TX,UART1-TX,PWM0-0,TWI0-SCK,SPI2-MOSI,,,,PA-EINT7
PA8,I/O,MIPIA-CSI-D0P,UART2-RX,UART1-RX,PWM0-1,TWI0-SDA,SPI2-MISO,,,,PA-EINT8
PA9,I/O,MIPIA-CSI-D1N/MIPIB-CSI-D0N,TWI0-SCK,TWI1-SCK,PWM0-2,UART3-CTS,SPI2-HOLD,,,,PA-EINT9
PA10,I/O,MIPIA-CSI-D1P/MIPIB-CSI-D0P,TWI0-SDA,TWI1-SDA,PWM0-3,UART3-RTS,SPI2-WP,,,,PA-EINT10
PA11,I/O,MIPIB-CSI-CK0N,TWI1-SCK,TWI0-SCK,PWM0-4,UART3-TX,,,,,PA-EINT11
PA12,I/O,MIPIB-CSI-CK0P,TWI1-SDA,TWI0-SDA,PWM0-5,UART3-RX,,,,,PA-EINT12
PC0,I/O,SDC0-D1,R-JTAG0-TMS,UART3-CTS,PWM0-0,TWI2-SCK,,,,,PC-EINT0
PC1,I/O,SDC0-D0,R-JTAG1-TMS,UART3-RTS,PWM0-1,TWI2-SDA,,,,,PC-EINT1
PC2,I/O,SDC0-CLK,UART0-TX,UART3-TX,PWM0-2,TWI1-SCK,,,,,PC-EINT2
PC3,I/O,SDC0-CMD,R-JTAG1-TCK,UART3-RX,PWM0-3,TWI1-SDA,,,,,PC-EINT3
PC4,I/O,SDC0-D3,UART0-RX,UART2-TX,PWM0-4,TWI0-SCK,,,,,PC-EINT4
PC5,I/O,SDC0-D2,R-JTAG0-TCK,UART2-RX,PWM0-5,TWI0-SDA,,,,,PC-EINT5
PC6,I/O,SPIF-WP,SPI0-WP,PWM0-6,TWI2-SCK,FEM-CTRL0,SDC0-CLK,,,,PC-EINT6
PC7,I/O,SPIF-HOLD,SPI0-HOLD,PWM0-7,TWI2-SDA,FEM-CTRL1,SDC0-CMD,CSI-SM-VS,,,PC-EINT7
PC8,I/O,SPIF-MOSI,SPI0-MOSI,BOOT-SEL0,PWM0-8,,SDC0-D0,,,,PC-EINT8
PC9,I/O,SPIF-CLK,SPI0-CLK,TWI2-SCK,PWM0-9,,SDC0-D1,,,,PC-EINT9
PC10,I/O,SPIF-CS0,SPI0-CS0,TWI2-SDA,TWI0-SCK,PWM0-10,SDC0-D2,,,,PC-EINT10
PC11,I/O,SPIF-MISO,SPI0-MISO,BOOT-SEL1,TWI0-SDA,PWM0-11,SDC0-D3,,,,PC-EINT11
PC15,I/O,,PWM0-11,PWM0-9,,,,,,,PC-EINT15
FEL/PC16,I/O,,,PWM0-10,,,CSI-SM-VS,SDC0-RST,,,PC-EINT16
